Middle,Region,Site,Unit,Batch,Species,Start Fish Density,End Fish Density,Hatchery,Lot Quality,Origin Year,Origin Month,From,To,Start Av. Wt.,End Av.Wt.,Model End Av. Wt. Act. Feed,Av. Wt. Deviation (%),Av. Wt. Before Sampl.,Model End Av. Wt. Sugg. Feed,Actual Feed,Feed Category,Supplier,Period Feed Qty,Model Feed Qty,Feed Deviation (%),Opening Fish No,Opening Biomass,Closing Fish No,Closing Biomass,Harvest Biomass,Transfer - (Kg),Transfer + (Kg),Biomass Produced,Biomass Produced Before Sampl.,Econ. FCR Period,Econ FCR Period Before Sampl.,Mortality No,Model Mortality No,Mortality Deviation (%),SFR Period (%),SFR Period (%) Before Sampl.,SGR Period (%),Max Feed Qty,Food Price,Current Grading,Feeding Policy,Group Tag,Vaccinated,Feeder,Feeding Rate (Kg / Hour),Fastings No,Avg. Temp.,Avg. Oxygene,Transfer - (No),Transfer + (No),Harvest (No),Sampling (No),LTD Mortality No,LTD Mortality %,LTD Econ. FCR,Period Day Degrees,Start Av. Weight Category,End Av. Weight Category
1416870000000,REGION1,SITE2,119_58,119_TS_0413_102,TSIPOURA,13.84,15.07,CHILIADOU,,2013,December,10/31/2014,12/19/2014,431.12,470.23,471.41,-0.25,464.39,431.12,COLORLINE 6.5 mm,COLOR LINE,FEEDUS,7900,0,0,77477,33401.88424,77322,36359.12406,0,0,0,2957.23982,2505.67934,2.671409991,3.152837585,155,0,0,0.46,0.47,0.18,3900,0,V,TSIPOURA 2015,,Unchecked,,0,0,22.62,0,0,0,0,2,2383,2.989774795,1.948042451,807,380-500,380-500
1416913200000,REGION1,SITE2,119_V9,119_TS_0513_104,TSIPOURA,6.5,5.28,KASTELLA,,2013,December,11/23/2014,11/27/2014,472.76,461.11,472.76,-2.46,472.76,0,,,,0,0,0,21903,10354.86228,18228,8405.11308,9857.84267,0,0,7908.09347,8120.44967,0,0,10,0,0,0,0,-0.62,,0,V,TSIPOURA 2014,,Unchecked,,0,0,19.18,0,0,0,2,0,1145,2.689687573,2.110736879,0,380-500,380-500
1416999600000,REGION1,SITE1,121_K5,121_TS_0913_99,TSIPOURA,1.93,0,KASTELLA,,2013,December,11/25/2014,11/27/2014,340.84,332.56,340.84,-2.43,340.84,0,,,,0,0,0,13694,4667.46296,0,0,13826.78324,0,0,9159.32028,9159.32028,0,0,0,0,0,0,0,-1.23,,0,A,TSIPOURA 2014,,Unchecked,,0,0,18.6,0,0,0,2,0,3111.04,4.658553112,1.666432873,0,300-380,300-380
1417129200000,REGION1,SITE2,119_V9,119_TS_0513_104,TSIPOURA,5.28,,KASTELLA,,2013,December,11/27/2014,11/28/2014,461.11,464.49,461.11,0.73,461.11,0,,,,0,0,0,18228,8405.11308,0,0,11620.76435,0,0,3215.65127,3215.65127,0,0,0,0,0,0,0,0.73,,0,V,TSIPOURA 2014,,Unchecked,,0,0,19.15,0,0,0,2,0,1145,2.689687573,1.917226984,0,380-500,380-500
1417172400000,REGION1,SITE1,121_T7,121_TS_0414_103,TSIPOURA,3.05,3.73,CHILIADOU,,2014,April,11/8/2014,12/18/2014,100.78,146.13,144.53,1.11,140.39,100.78,BL 3.5 BREAM,VLUE LINE,FEEDUS,2562,0,0,37450,3774.211,37290,5449.1877,0,0,0,1674.9767,1460.9321,1.529573516,1.753674931,160,0,0,1.4,1.43,0.93,2427,0,V,TSIPOURA 2015,,Unchecked,,0,0,18.69,0,0,1,0,1,3743.27,8.4602601,1.680430846,767,100-150,100-150
1417604400000,REGION1,SITE1,121_A1,121_TS_0514_105,TSIPOURA,0.52,2.96,CHILIADOU,,2014,May,11/18/2014,12/18/2014,103.49,119.8,126.64,-5.4,117.88,103.49,BL 3.5 BREAM,VLUE LINE,FEEDUS,8900,0,0,86100,8910.489,420715,50401.657,0,0,36020.1675,5471.0005,4663.2277,1.626759128,1.908549308,1135,0,0,9.4,10.92,0.49,8900,0,A,TSIPOURA 2015,,Unchecked,,0,0,18.4,0,0,5,0,1,33202.42,7.401566343,1.28422019,570,100-150,100-150
1417604400001,REGION1,SITE1,121_A2,121_TS_0514_105,TSIPOURA,0.38,2.3,CHILIADOU,,2014,May,11/18/2014,12/18/2014,74.66,93.52,97.01,-3.6,90.25,74.66,BL 3.5 BREAM,VLUE LINE,FEEDUS,7745,0,0,86900,6487.954,418865,39172.2548,0,0,27019.6255,5664.6753,4294.98675,1.36724518,1.803265167,1885,0,0,8.19,10.59,0.75,7745,0,V,TSIPOURA 2015,,Unchecked,,0,0,18.4,0,0,5,0,1,33869.53,7.570072475,1.629799261,570,50-100,50-100
1417647600000,REGION1,SITE2,119_P1,119_TS_0604_49,TSIPOURA,5.48,5.43,KANATADIKA,,2013,December,11/21/2014,12/16/2014,2500,2500,2505.84,-0.23,2504.23,2500,"BLUELINE 6,5 mm",VLUE LINE,FEEDUS,15,0,0,752,1880,745,1862.5,5,0,0,-12.5,-9.34865,-1.2,-1.604509742,6,0,0,0.03,0.05,0,15,0,-,TSIPOURA 2015,,Unchecked,,0,0,25.2,0,0,0,2,0,69,8.214285714,-1.454378695,57,>2000,>2000
1417690800000,REGION1,SITE1,121_30,114_TS_0613_69,TSIPOURA,12.58,9.74,CHILIADOU,,2013,December,12/3/2014,12/5/2014,462.1,463.7,462.1,0.35,462.1,0,,,,0,0,0,73505,33966.6605,56734,26307.5558,15805.6938,0,0,8146.5891,8055.8147,0,0,4,0,0,0,0,0.17,,0,V,TSIPOURA 2014,,Unchecked,,0,0,18.27,0,0,0,2,0,2645,2.828060346,2.110370579,0,380-500,380-500
1417993200000,REGION1,SITE1,121_K5,121_TS_0414_103,TSIPOURA,5.46,5.95,CHILIADOU,,2014,April,12/6/2014,12/9/2014,157.54,171.49,160,7.18,159.26,157.54,BL 3.5 BREAM,VLUE LINE,FEEDUS,310,0,0,76700,12083.318,76700,13153.283,0,0,0,1069.965,131.924,0.289729103,2.349837785,0,0,0,0.82,0.85,2.83,175,0,A,TSIPOURA 2015,,Unchecked,,0,0,18.2,0,0,1,0,1,8270.93,9.137793143,1.278193745,54,150-200,150-200
