"","Middle","Region","Site","Unit","Batch","Species","Start.Fish.Density","End.Fish.Density","Hatchery","Lot.Quality","Origin.Year","Origin.Month","From","To","Start.Av..Wt.","End.Av.Wt.","Model.End.Av..Wt..Act..Feed","Av..Wt..Deviation....","Av..Wt..Before.Sampl.","Model.End.Av..Wt..Sugg..Feed","Actual.Feed","Feed.Category","Supplier","Period.Feed.Qty","Model.Feed.Qty","Feed.Deviation....","Opening.Fish.No","Opening.Biomass","Closing.Fish.No","Closing.Biomass","Harvest.Biomass","Transfer....Kg.","Transfer....Kg..1","Biomass.Produced","Biomass.Produced.Before.Sampl.","Econ..FCR.Period","Econ.FCR.Period.Before.Sampl.","Mortality.No","Model.Mortality.No","Mortality.Deviation....","SFR.Period....","SFR.Period.....Before.Sampl.","SGR.Period....","Max.Feed.Qty","Food.Price","Current.Grading","Feeding.Policy","Group.Tag","Vaccinated","Feeder","Feeding.Rate..Kg...Hour.","Fastings.No","Avg..Temp.","Avg..Oxygene","Transfer....No.","Transfer....No..1","Harvest..No.","Sampling..No.","LTD.Mortality.No","LTD.Mortality..","LTD.Econ..FCR","Period.Day.Degrees","Start.Av..Weight.Category","End.Av..Weight.Category","PRODUCT.TYPE","GROUPING.PROD..BGT"
"161",271434016800000,"GREECE","PETALAS","PEG19","BAS13092014VML","BASS",3.04,7.62,"VONITSA","",2014,"September","10/04/15","12/08/15",69.06,176.8,163.42,8.19,170.13,180.99,"GR IR. PLUS 4,5 V","PLUS","IRIDA",19412.5,23254.93872,16.52,123069,8499.14514,120734,21345.7712,0,0,0,12846.62606,12041.33028,1.511097148,1.612155763,2335,4500,48.11,1.12,1.15,0.76,14987.5,1.14,"SMALL","GR BASS SMOOTHLY","","Unchecked",NA,0,15,20.8,0,0,1,0,1,10159.77,8.731794956,1.579018334,2616,"A 1-300","A 1-300",NA,NA
"162",271441749600000,"GREECE","PETALAS","PED323","BAS13092014VML","BASS",4.4,5.59,"VONITSA","",2014,"September","18/08/15","30/09/15",182.85,229.5,238.53,-3.79,243.82,249.69,"GR AGR 02  (5 mm)","OPTIMA","AGROINVEST",24362.5,29393.21177,17.12,240492,43973.9622,243675,55923.4125,0,0,0,11949.4503,15438.8763,2.038796714,1.577996969,815,2336,65.11,1.14,1.1,0.53,15675,1.11,"SMALL","GR BASS SMOOTHLY","","Unchecked",NA,0,8,26.23,0,0,2,0,1,25518.01,10.74980605,1.617928415,1160,"A 1-300","A 1-300",NA,NA
"163",271443952800000,"GREECE","PETALAS","PED323","BAS13092014VML","BASS",5.59,5.77,"VONITSA","",2014,"September","30/09/15","08/10/15",229.5,237.01,240.35,-1.39,238.47,242.75,"GR AGR 02  (5 mm)","OPTIMA","AGROINVEST",4900,5989.782489,18.19,243675,55923.4125,243475,57706.00975,0,0,0,1782.59725,2138.07075,2.748798137,2.291785714,290,414,29.95,1.08,1.07,0.4,4900,1.11,"SMALL","GR BASS SMOOTHLY","","Unchecked",NA,0,1,25.2,0,0,0,0,2,25718.01,10.83405875,1.642966479,227,"A 1-300","A 1-300",NA,NA
"164",281417604400000,"GREECE","PETALAS","PEA11","BAS13112014VMS","BASS",1.55,3.47,"VONITSA","",2014,"November","13/11/14","23/12/14",25.42,34.43,33.25,3.55,33.24,49.59,"GR IR. POW. 2","POWER","IRIDA",1040,3233.381145,67.84,61000,1550.62,100670,3466.0681,0,0,1060.466,854.9821,735.1848,1.216399735,1.414610313,2130,1270,-67.72,2.45,2.72,0.76,1040,1.611,"","GR BASS SMOOTHLY","","Unchecked",NA,0,6,19.8,0,0,1,0,1,2130,2.071984436,1.216391199,814,"A 1-300","A 1-300",NA,NA
"165",281424428200000,"GREECE","PETALAS","PEA11","BAS13112014VMS","BASS",3.47,5.21,"VONITSA","",2014,"November","23/12/14","20/04/15",34.43,55.03,54.69,0.62,51.36,67.2,"GR IR. POW. 2","POWER","IRIDA",4043,6333.810896,36.17,100670,3466.0681,94609,5206.33327,0,0,0,1740.26517,1393.05014,2.323209169,2.902264523,6060,3414,-77.5,0.8,0.83,0.4,2471,1.606,"","GR BASS SMOOTHLY","","Unchecked",NA,0,16,15.69,0,0,0,0,2,8190,7.96692607,1.942777631,1880,"A 1-300","A 1-300",NA,NA
"166",2.81430604e+14,"GREECE","PETALAS","PEA11","BAS13112014VMS","BASS",5.21,5.43,"VONITSA","",2014,"November","20/04/15","15/05/15",55.03,57.9,63.75,-9.18,64.6,67.62,"GR IR. SMART 3","SMART","IRIDA",1336.5,1934.630951,30.92,94609,5206.33327,93844,5433.5676,0,0,0,227.23433,855.98913,5.881593683,1.561351603,915,728,-25.69,1.01,0.95,0.2,1019,1.246,"","GR BASS SMOOTHLY","","Unchecked",NA,0,2,16.91,0,0,0,0,2,8955,8.711089494,2.23331362,444,"A 1-300","A 1-300",NA,NA
"167",281432159200000,"GREECE","PETALAS","PEA11","BAS13112014VMS","BASS",5.43,6,"VONITSA","",2014,"November","15/05/15","26/05/15",57.9,64.88,61.87,4.87,62.11,66.69,"GR IR. SMART 3","SMART","IRIDA",525,1164.757805,54.93,93844,5433.5676,92452,5998.28576,0,0,0,564.71816,308.62612,0.929667287,1.701087387,5065,331,-1430.21,0.84,0.85,1.03,525,1.246,"","GR BASS SMOOTHLY","","Unchecked",NA,0,5,19.68,0,0,0,0,2,14020,13.6381323,2.015968466,237,"A 1-300","A 1-300",NA,NA
"168",281438984800000,"GREECE","PETALAS","PEG09","BAS13112014VMS","BASS",2.57,6.48,"VONITSA","",2014,"November","15/06/15","30/09/15",78.32,200.61,187.27,7.12,184.67,206.92,"GR IR. PLUS 4,5 V","PLUS","IRIDA",16740,19958.03293,16.12,91987,7204.42184,90458,18146.77938,0,0,0,10942.35754,9500.45702,1.529834859,1.762020497,1599,2876,44.4,1.32,1.38,0.88,9412.5,1.14,"","GR BASS SMOOTHLY","","Unchecked",NA,0,14,25.02,0,0,1,0,1,15954,15.51945525,1.609842506,2713,"A 1-300","A 1-300",NA,NA
"169",291394101800000,"GREECE","PETALAS","PEV07","BAS13122013VON","BASS",1.23,2.95,"VONITSA","67-100%13,5",2013,"December","13/12/13","28/05/14",12.48,31.06,42.09,-26.21,40.43,75.93,"GR IR. POW. 2","POWER","IRIDA",4319.5,9712.002975,55.52,98300,1226.784,95110,2954.1166,0,0,0,1727.3326,2618.5133,2.500676477,1.649600176,3190,5034,36.63,1.32,1.14,0.55,2975,1.579,"","GR BASS SMOOTHLY","","Unchecked",NA,0,16,16.87,0,0,0,0,1,3190,3.245167854,2.500670686,2808,"A 1-300","A 1-300",NA,NA
"170",291401573600000,"GREECE","PETALAS","PEV07","BAS13122013VON","BASS",2.95,3.06,"VONITSA","67-100%13,5",2013,"December","28/05/14","04/06/14",31.06,31.29,31.7,-1.29,31.63,35.14,"GR IR. SMART 3","SMART","IRIDA",81,525.0156649,84.57,95110,2954.1166,97689,3056.68881,0,0,0,102.57221,135.78647,0.789687577,0.596524823,780,225,-246.67,0.39,0.38,0.11,81,1.224,"","GR BASS SMOOTHLY","","Unchecked",NA,0,4,18.72,0,0,0,0,2,3873,3.939979654,2.546820242,149,"A 1-300","A 1-300",NA,NA
"171",291403042400000,"GREECE","PETALAS","PEV07","BAS13122013VON","BASS",3.06,3.97,"VONITSA","67-100%13,5",2013,"December","04/06/14","01/07/14",31.29,40.93,41.78,-2.03,31.48,48.61,"GR IR. SMART 3","SMART","IRIDA",1345,2246.971349,40.14,97689,3056.68881,96979,3969.35047,0,0,0,912.66166,-3.78989,1.473711518,-354.8915668,900,812,-10.84,1.43,1.63,0.99,1345,1.224,"","GR BASS SMOOTHLY","","Unchecked",NA,0,2,19.96,0,0,0,0,2,4610,4.689725331,2.055188759,558,"A 1-300","A 1-300",NA,NA
"172",291405504800024,"GREECE","PETALAS","PEV07","BAS13122013VON","BASS",3.97,6,"VONITSA","67-100%13,5",2013,"December","01/07/14","31/07/14",40.93,62.2,62.24,-0.06,62.2,65.02,"GR IR. SMART 3","SMART","IRIDA",2781.5,3160.478959,11.99,96979,3969.35047,96434,5998.1948,0,0,0,2028.84433,2028.84433,1.370977536,1.370977536,575,885,35.03,1.89,1.89,1.39,2781.5,1.224,"","GR BASS SMOOTHLY","","Unchecked",NA,0,2,22.85,0,0,0,0,2,5105,5.19328586,1.764256589,708,"A 1-300","A 1-300",NA,NA
