Region;Site;Unit;Batch;Species;Start Fish Density;End Fish Density;Hatchery;Lot Quality;Origin Year;Origin Month;From;To;Start Av. Wt.;End Av.Wt.;Model End Av. Wt. Act. Feed;Av. Wt. Deviation (%);Av. Wt. Before Sampl.;Model End Av. Wt. Sugg. Feed;Actual Feed;Feed Category;Supplier;Proteins_Avg;Lipids_Avg;Vitamin_Mineral_Premix;Digestible_Energy;Period Feed Qty;Model Feed Qty;Feed Deviation (%);Opening Fish No;Opening Biomass;Closing Fish No;Closing Biomass;Harvest Biomass;Transfer - (Kg);Transfer + (Kg);Biomass Produced;Biomass Produced Before Sampl.;Econ. FCR Period;Econ FCR Period Before Sampl.;Mortality No;Model Mortality No;Mortality Deviation (%);SFR Period (%);SFR Period (%) Before Sampl.;SGR Period (%);Max Feed Qty;Food Price;Current Grading;Feeding Policy;Group Tag;Vaccinated;Feeder;Feeding Rate (Kg / Hour);Fastings No;Avg. Temp.;Avg. Oxygene;Transfer - (No);Transfer + (No);Harvest (No);Sampling (No);LTD Mortality No;LTD Mortality %;LTD Econ. FCR;Period Day Degrees;Start Av. Weight Category;End Av. Weight Category;PRODUCT TYPE;GROUPING PROD. BGT
GREECE;PETALAS;AKK01;BAS01032013NIR;BASS;2.71;3.08;NIREUS;;2013;March;25/06/13;30/06/13;25.5;29;27.89;3.98;27.56;28.68;GR IR. POW. 2;POWER;IRIDA;0.44;0.19;0.03;19.20;325;434.6862086;25.23;106225;2708.7375;106135;3077.915;0;0;0;369.1775;216.3431;0.88033534;1.502243427;130;228;42.98;2.25;2.31;2.57;325;1.701;;GR BASS SMOOTHLY;AKK01\BAS01032013NIR;Unchecked;;0;1;20.25;0;0;0;0;2;3865;3.513636364;1.372750537;419;A 1-300;A 1-300;;
GREECE;PETALAS;AKZ02;BAS02032013NIR;BASS;2.95;3.14;NIREUS;;2013;March;25/06/13;30/06/13;27.77;29.5;29.6;-0.34;29.45;31.18;GR IR. POW. 2;POWER;IRIDA;0.44;0.19;0.03;19.20;250;467.8000366;46.56;106400;2954.728;106330;3136.735;0;0;0;182.007;176.6905;1.373573544;1.414903461;120;214;43.93;1.64;1.64;1.21;250;1.701;;GR BASS SMOOTHLY;AKZ02\BAS02032013NIR;Unchecked;;0;2;20.25;0;0;0;0;2;3470;3.154545455;1.296999893;505;C 365-600;C 365-600;;
GREECE;PETALAS;PE_01;BAS11062013NIR;BASS;0.44;10.66;NIREUS;;2013;June;30/06/13;31/01/14;4;149.72;133.58;12.08;130;152.97;GR IR. PLUS 4,5 _;PLUS;IRIDA;0.46;0.20;0.03;20.08;15866.5;18328.5824;13.43;109050;436.2;71220;10663.0584;0;0;0;10226.8584;8822.4;1.551453964;1.798433533;37830;6253;-504.99;2.31;2.56;1.68;5700;1.134;;GR BASS SMOOTHLY;PE_01\BAS11062013NIR;Unchecked;;0;33;21.84;0;0;0;0;2;38780;35.25454545;1.541737347;1453;A 1-300;A 1-300;;
GREECE;PETALAS;PE_11;BAS19062013NIR;BASS;0.44;7.95;NIREUS;;2013;June;30/06/13;03/02/14;4;123.95;119.03;4.13;116.49;154.31;GR IR. SMART 3;SMART;IRIDA;0.48;0.21;0.03;20.95;13437;17986.22424;25.29;109665;438.66;64130;7948.9135;0;0;0;7510.2535;7031.8437;1.789153988;1.910878651;45535;6215;-632.66;2.38;2.49;1.58;4567.5;1.257;;GR BASS SMOOTHLY;PE_11\BAS19062013NIR;Unchecked;;0;25;21.76;0;0;0;0;2;45870;41.7;1.781737397;686;A 1-300;A 1-300;;
GREECE;PETALAS;PE_15;L1/12/12B-NHR;BASS;3.17;3.5;NIREUS;;2012;December;30/06/13;20/07/13;46;48.01;60.36;-20.46;60.43;61.6;GR IR. SMART 3;SMART;IRIDA;0.48;0.21;0.03;20.95;1341.5;1468.904872;8.67;68830;3166.18;72845;3497.28845;0;0;0;331.10845;1235.84335;4.051542629;1.085493562;825;421;-95.96;2.01;1.79;0.21;1277.5;1.26;;GR BASS SMOOTHLY;PE_15\L1/12/12B-NHR;Unchecked;;0;3;21.5;0;0;0;0;2;9615;12.38727132;1.768226435;913;C 365-600;C 365-600;;
GREECE;PETALAS;PE_08;L10/4/12A-NHR;BASS;7.73;12.22;NIREUS;;2012;April;30/06/13;31/12/13;275;509;482.4;5.51;462.21;519.43;GR IR. PLUS 6 _;PLUS;IRIDA;0.46;0.20;0.03;20.08;33437.5;40304.3569;17.04;78738;21652.95;67230;34220.07;1923.96568;0;0;14491.08568;11345.39398;2.30745306;2.947231278;5885;1942;-203.04;0.64;0.58;0.33;22887.5;1.141;;GR BASS SMOOTHLY;PE_08\L10/4/12A-NHR;Unchecked;;0;44;22.64;0;0;0;1;2;9030;11.0279301;2.31026761;708;B 300-365;C 365-600;;
GREECE;PETALAS;PE_04;L10/4/12B-NHR;BASS;8.12;12.03;NIREUS;;2012;April;30/06/13;30/11/13;260;485;453.38;6.97;434.97;475.09;GR IR. PLUS 6 _;PLUS;IRIDA;0.46;0.20;0.03;20.08;33740;37801.68833;10.74;87439;22734.14;69465;33690.525;3421.935;0;0;14378.32;10902.98605;2.346588475;3.094565089;3162;2127;-48.66;0.75;0.58;0.41;20537.5;1.14;;GR BASS SMOOTHLY;PE_04\L10/4/12B-NHR;Unchecked;;0;36;23.53;0;0;0;1;2;6342;6.998532317;2.102262374;477;A 1-300;A 1-300;;
GREECE;PETALAS;PE_14;L8/11/12B-NHR;BASS;2.15;7.77;NIREUS;;2012;November;05/07/13;31/12/13;55.54;230;226.89;1.37;223.57;254.58;GR IR. PLUS 4,5 _;PLUS;IRIDA;0.46;0.20;0.03;20.08;29933.5;35279.03876;15.15;108641;6033.92114;94579;21753.17;0;0;0;15719.24886;15111.10589;1.904257657;1.980894067;14162;5047;-180.6;1.36;1.39;0.79;14600;1.144;;GR BASS SMOOTHLY;PE_14\L8/11/12B-NHR;Unchecked;;0;35;22.73;0;0;0;0;2;22027;20.57060142;1.817735387;3568;A 1-300;B 300-365;;
GREECE;PETALAS;PE_16;L23/11/12-NHR;BASS;1.88;8.08;NIREUS;;2012;November;08/07/13;31/12/13;49.86;234;213.62;9.54;210.98;238.76;GR IR. PLUS 4,5 _;PLUS;IRIDA;0.46;0.20;0.03;20.08;27600;32288.42045;14.52;105534;5261.92524;96637;22613.058;0;0;0;17351.13276;15126.54902;1.590674245;1.824606522;8547;4938;-73.09;1.32;1.4;0.88;13437.5;1.144;;GR BASS SMOOTHLY;PE_16\L23/11/12-NHR;Unchecked;;0;36;22.76;0;0;0;0;2;16081;15.0684033;1.579707432;1171;A 1-300;A 1-300;;
GREECE;PETALAS;PE_03;BAS11062013NIR;BASS;4.03;4.85;NIREUS;;2013;June;14/03/14;13/05/14;161.47;196.71;190.25;3.4;188.78;197.23;GR IR. PLUS 4,5 _;PLUS;IRIDA;0.46;0.20;0.03;20.08;4212.5;5261.845443;19.94;69835;11276.25745;68985;13570.03935;0;0;0;2293.7819;1746.73085;1.836486721;2.411648022;715;1220;41.39;0.57;0.58;0.33;3712.5;1.121;;GR BASS SMOOTHLY;PE_01\BAS11062013NIR;Unchecked;;0;20;16.66;0;0;1;0;1;40710;37.00909091;1.660418982;479;C 365-600;C 365-600;;
