0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
400.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.323;-2.374;-2.424;-2.980;-3.535;-6.060;3.002;2.571;2.466;2.374;2.293;2.280;2.266;2.260;2.253;2.240;2.227;2.214;2.416;2.567;2.719;0.000;0.000;0.000;0.000;0.000
410.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.303;-2.353;-2.404;-2.909;-3.414;-5.858;3.021;2.589;2.484;2.391;2.309;2.296;2.283;2.276;2.269;2.256;2.243;2.230;2.432;2.584;2.735;0.000;0.000;0.000;0.000;0.000
420.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.283;-2.333;-2.384;-2.838;-3.293;-5.656;3.040;2.607;2.501;2.408;2.325;2.312;2.299;2.292;2.286;2.273;2.259;2.246;2.448;2.600;2.751;0.000;0.000;0.000;0.000;0.000
430.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.262;-2.313;-2.363;-2.767;-3.171;-5.454;3.059;2.626;2.519;2.424;2.341;2.328;2.315;2.308;2.302;2.289;2.276;2.262;2.464;2.616;2.767;0.000;0.000;0.000;0.000;0.000
440.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.242;-2.293;-2.343;-2.697;-3.050;-5.252;3.078;2.644;2.536;2.441;2.357;2.344;2.331;2.325;2.318;2.305;2.292;2.279;2.481;2.632;2.784;0.000;0.000;0.000;0.000;0.000
450.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.222;-2.273;-2.323;-2.626;-2.929;-5.050;3.097;2.662;2.553;2.458;2.374;2.360;2.347;2.341;2.334;2.321;2.308;2.295;2.497;2.648;2.800;0.000;0.000;0.000;0.000;0.000
460.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.202;-2.252;-2.303;-2.586;-2.868;-4.949;3.145;2.707;2.597;2.500;2.414;2.401;2.388;2.381;2.375;2.361;2.348;2.335;2.537;2.689;2.840;0.000;0.000;0.000;0.000;0.000
470.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.182;-2.232;-2.283;-2.545;-2.808;-4.848;3.192;2.752;2.640;2.542;2.454;2.441;2.428;2.421;2.415;2.402;2.389;2.376;2.578;2.729;2.881;0.000;0.000;0.000;0.000;0.000
480.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.161;-2.212;-2.262;-2.505;-2.747;-4.747;3.240;2.798;2.684;2.583;2.495;2.482;2.468;2.462;2.455;2.442;2.429;2.416;2.618;2.769;2.921;0.000;0.000;0.000;0.000;0.000
490.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.141;-2.192;-2.242;-2.464;-2.687;-4.646;3.287;2.843;2.727;2.625;2.535;2.522;2.509;2.502;2.496;2.483;2.469;2.456;2.658;2.810;2.961;0.000;0.000;0.000;0.000;0.000
500.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.121;-2.172;-2.222;-2.424;-2.626;-4.545;3.335;2.888;2.771;2.667;2.576;2.562;2.549;2.543;2.536;2.523;2.510;2.497;2.699;2.850;3.002;0.000;0.000;0.000;0.000;0.000
520.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.101;-2.151;-2.202;-2.384;-2.565;-4.343;3.394;2.945;2.825;2.719;2.626;2.613;2.600;2.593;2.587;2.573;2.560;2.547;2.749;2.901;3.052;0.000;0.000;0.000;0.000;0.000
540.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.081;-2.131;-2.182;-2.343;-2.505;-4.141;3.454;3.002;2.879;2.772;2.677;2.663;2.650;2.644;2.637;2.624;2.611;2.598;2.800;2.951;3.103;0.000;0.000;0.000;0.000;0.000
560.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.060;-2.111;-2.161;-2.303;-2.444;-3.939;3.513;3.058;2.934;2.824;2.727;2.714;2.701;2.694;2.688;2.674;2.661;2.648;2.850;3.002;3.153;0.000;0.000;0.000;0.000;0.000
580.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.040;-2.091;-2.141;-2.262;-2.384;-3.737;3.573;3.115;2.988;2.876;2.778;2.764;2.751;2.745;2.738;2.725;2.712;2.699;2.901;3.052;3.204;0.000;0.000;0.000;0.000;0.000
600.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.020;-2.071;-2.121;-2.222;-2.323;-3.535;3.632;3.172;3.042;2.929;2.828;2.815;2.802;2.795;2.789;2.775;2.762;2.749;2.951;3.103;3.254;0.000;0.000;0.000;0.000;0.000
620.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.000;-2.050;-2.101;-2.202;-2.303;-3.434;3.680;3.217;3.086;2.970;2.868;2.855;2.842;2.836;2.829;2.816;2.803;2.790;2.992;3.143;3.295;0.000;0.000;0.000;0.000;0.000
640.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-1.980;-2.030;-2.081;-2.182;-2.283;-3.333;3.727;3.262;3.129;3.012;2.909;2.896;2.883;2.876;2.869;2.856;2.843;2.830;3.032;3.184;3.335;0.000;0.000;0.000;0.000;0.000
660.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-1.959;-2.010;-2.060;-2.161;-2.262;-3.232;3.775;3.307;3.173;3.054;2.949;2.936;2.923;2.916;2.910;2.897;2.884;2.870;3.072;3.224;3.375;0.000;0.000;0.000;0.000;0.000
680.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-1.939;-1.990;-2.040;-2.141;-2.242;-3.131;3.822;3.353;3.216;3.096;2.990;2.976;2.963;2.957;2.950;2.937;2.924;2.911;3.113;3.264;3.416;0.000;0.000;0.000;0.000;0.000
700.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-1.919;-1.970;-2.020;-2.121;-2.222;-3.030;3.870;3.398;3.260;3.138;3.030;3.017;3.004;2.997;2.991;2.977;2.964;2.951;3.153;3.305;3.456;0.000;0.000;0.000;0.000;0.000
