Region	Site	Unit	Batch	Species	Start Fish Density	End Fish Density	Hatchery	Lot Quality	Origin Year	Origin Month	From	To	Start Av. Wt.	End Av.Wt.	Model End Av. Wt. Act. Feed	Av. Wt. Deviation (%)	Av. Wt. Before Sampl.	Model End Av. Wt. Sugg. Feed	Actual Feed	Feed Category	Supplier	Period Feed Qty	Model Feed Qty	Feed Deviation (%)	Opening Fish No	Opening Biomass	Closing Fish No	Closing Biomass	Harvest Biomass	Transfer - (Kg)	Transfer + (Kg)	Biomass Produced	Biomass Produced Before Sampl.	Econ. FCR Period	Econ FCR Period Before Sampl.	Mortality No	Model Mortality No	Mortality Deviation (%)	SFR Period (%)	SFR Period (%) Before Sampl.	SGR Period (%)	Max Feed Qty	Food Price	Current Grading	Feeding Policy	Group Tag	Vaccinated	Feeder	Feeding Rate (Kg / Hour)	Fastings No	Avg. Temp.	Avg. Oxygene	Transfer - (No)	Transfer + (No)	Harvest (No)	Sampling (No)	LTD Mortality No	LTD Mortality %	LTD Econ. FCR	Period Day Degrees	Start Av. Weight Category	End Av. Weight Category	cage comment	feeding test	aminolab check date	pre-grow code
d	d	d	d	d	c	c	d	d	c	d	c	c	c	c	c	c	c	c	d	d	d	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	d	d	d	d	d	c	c	c	c	c	c	c	c	c	c	c	c	d	d	d	d	d	d
																																		c																																
ashdod	quality fish	QF.18	sea09072013Ard	sea bream	2.98	4.33	Ardag		2013	July	9/10/2013	9/24/2013	22	32	26.26	21.86	26.07	27.36	2.5 mm 4922	Raanan weaning	raanan	2735	3437.170595	20.43	424882	9347.404	424882	13596.224	0	0	0	4248.82	1729.26974	0.643708135	1.58159247	0	0	0	1.72	1.92	2.68	2735	6.9		quality fish conservative summer	july	Unchecked		0	1	29	29	0	0	0	2	75000	15.00354084	1.169489213	435	01  0-50	01  0-50				
ashdod	quality fish	QF.24	sea11062013Ard	sea bream	4.52	5.45	Ardag		2013	June	9/10/2013	9/24/2013	29	35	34.02	2.88	33.76	34.97	2.5 mm 4922	Raanan weaning	raanan	3900	4641.549977	15.98	489119	14184.451	489119	17119.165	0	0	0	2934.714	2328.20644	1.328919956	1.675109188	0	0	0	1.79	1.82	1.34	2850	6.9		quality fish conservative summer	june	Unchecked		0	1	29	29	0	0	0	2	5150	1.041942748	1.022040609	435	01  0-50	01  0-50				
ashdod	quality fish	QF.26	sea28082013Ard	sea bream	0.99	1.28	Ardag		2013	August	9/10/2013	9/24/2013	5	7	6.36	10.06	6.24	6.79	TM 4	Raanan starter	raanan	860	1137.573799	24.4	497163	2485.815	461163	3228.141	0	0	0	742.326	391.84212	1.15852065	2.194761502	36000	0	0	2.16	2.29	2.4	860	12.5		quality fish conservative summer	august	Unchecked		0	0	29	29	0	0	0	2	38000	7.612743733	0.930280396	435	01  0-50	01  0-50				
ashdod	quality fish	QF.33	01052012	sea bream	11.59	12.72	Ardag		2012	May	8/29/2013	9/30/2013	360	400	401.09	-0.27	401.4	405.53	summer 46/22-30 5.5 4935	summer	tzemach	10300	11417.48964	9.79	101150	36414	99900	39960	0	0	0	3546	3685.86	2.904681331	2.794463165	1250	0	0	0.84	0.84	0.33	10300	4.93		quality fish conservative summer	may	Unchecked		0	1	29.21	29.21	0	0	0	2	1400	1.382033564	2.209370059	964	08  351-400	08  351-400			22/10/2013	
ashdod	quality fish	QF.12	sea02052013Ard	sea bream	1.99	3.06	Ardag		2013	May	8/23/2013	10/1/2013	41	63	62.26	1.19	62.02	60.98	45/22 3 mm 4943	Raanan summer	raanan	5613	5254.170853	-6.83	152386	6247.826	152386	9600.318	0	0	0	3352.492	3203.15372	1.674276926	1.752335508	0	0	0	1.84	1.86	1.1	5213	4.808	S	quality fish conservative summer	may	Unchecked		0	0	29.45	29.45	0	0	0	2	20700.66	9.30569543	1.67414613	1178	01  0-50	02  051-100			13/08/14	
ashdod	quality fish	QF.04	08032012	sea bream	14.38	15.49	Nireus		2012	March	8/27/2013	10/1/2013	360	396	392.53	0.88	392.7	409.97	45/22 4.5 mm 4944	Raanan summer	raanan	10018	15417.74754	35.02	125484	45174.24	122854	48650.184	0	0	0	3475.944	3070.5258	2.882094763	3.26263339	2630	0	0	0.61	0.61	0.27	10018	4.811		quality fish conservative summer	march	Unchecked		0	0	29.28	29.28	0	0	0	2	6072	4.70967842	2.27278529	1054	08  351-400	08  351-400			24/09/2013	
ashdod	quality fish	QF.19	09082012	sea bream	10.41	11.57	Ardag		2012	August	8/27/2013	10/1/2013	269	299	309.28	-3.32	309.45	312.51	45/22 4.5 mm 4944	Raanan summer	raanan	11509	12441.52886	7.5	121582	32705.558	121582	36353.018	0	0	0	3647.46	4917.9919	3.15534646	2.340182789	0	0	0	0.95	0.94	0.3	11509	4.811		quality fish conservative summer	august	Unchecked		0	1	29.28	29.28	0	0	0	2	3406	2.725061606	2.274233727	1054	06  251-300	06  251-300			14/01/14	
ashdod	quality fish	QF.20	sea25022013Ard	sea bream	4.6	6.34	Ardag		2013	February	8/27/2013	10/1/2013	74	102	99.32	2.7	99.22	97.56	45/22 3 mm 4943	Raanan summer	raanan	9261	8618.898784	-7.45	195265	14449.61	195145	19904.79	0	0	0	5455.18	4912.6769	1.697652506	1.885122956	120	0	0	1.55	1.58	0.92	9261	4.808		quality fish conservative summer	february	Unchecked		0	0	29.28	29.28	0	0	0	2	3313.68	1.076129799	1.457866712	1054	02  051-100	03  101-150				
ashdod	quality fish	QF.22	09082012	sea bream	10.95	11.73	Ardag		2012	August	8/27/2013	10/1/2013	292	314	333.75	-5.92	333.94	337.29	45/22 4.5 mm 4944	Raanan summer	raanan	11671	12692.57419	8.05	117810	34400.52	117310	36835.34	0	0	0	2434.82	4773.9814	4.793372816	2.444709986	500	0	0	0.94	0.91	0.21	11671	4.811		quality fish conservative summer	august	Unchecked		0	0	29.28	29.28	0	0	0	2	1871	1.569881105	2.485606842	1054	06  251-300	07  301-350			29/01/2014	
ashdod	quality fish	QF.27	09082012	sea bream	11.89	12.52	Ardag		2012	August	8/27/2013	10/1/2013	305	321	352.15	-8.85	352.21	351.27	45/22 4.5 mm 4944	Raanan summer	raanan	13875	13634.18851	-1.77	122506	37364.33	122506	39324.426	0	0	0	1960.096	5783.50826	7.078734919	2.399062883	0	0	0	1.03	0.99	0.15	13875	4.811		quality fish conservative summer	august	Unchecked		0	0	29.28	29.28	0	0	0	2	1393	1.12430286	2.318179779	1054	07  301-350	07  301-350			05/11/13	
